"Date","Expanded_RB_HF","Expanded_RB_LF","Expanded_RB_LF_LR","Expanded_LB_HF","Expanded_LB_LF","Expanded_LB_LF_LR","Proportion_of_Fish_in_LF_on_RB","Proportion_of_Fish_in_LF_on_LB","Total_Proportion_of_Fish_in_LF","Total_Expanded_Count_RB","Total_Expanded_Count_LB","Cumulative_RB","Cumulative_LB","Sockeye_Caught","Chinook_Adults_Caught","Chinook_Jacks_Caught","Coho_Caught","Pink_Caught","Chum_Caught","Steelhead_Caught","Total_Caught","Proportion_Sockeye","Proportion_Chinook_Adults","Proportion_Chinook_Jacks","Proportion_Coho","Proportion_Pink","Proportion_Chum","Proportion_Steelhead","Daily_Sockeye","Daily_Chinook_Adults","Daily_Chinook_Jacks","Daily_Coho","Daily_Pink","Daily_Chum","Daily_Steelhead","Cumulative_Sockeye","Cumulative_Chinook_Adults","Cumulative_Chinook_Jacks","Cumulative_Coho","Cumulative_Pink","Cumulative_Chum","Cumulative_Steelhead","Expanded_Daily_Total_RB_LB","Cumulative_Total_RB_LB","NA"
"Date","Expanded RB HF","Expanded RB LF","Expanded RB LF LR","Expanded LB HF","Expanded LB LF","Expanded LB LF LR","Proportion of Fish in LF on RB","Proportion of Fish in LF on LB","Total Proportion of Fish in LF","Total Expanded Count RB","Total Expanded Count LB","Cumulative RB","Cumulative LB","Sockeye Caught","Chinook Adults Caught","Chinook Jacks Caught","Coho Caught","Pink Caught","Chum Caught","Steelhead Caught","Total Caught","Proportion Sockeye","Proportion Chinook Adults","Proportion Chinook Jacks","Proportion Coho","Proportion Pink","Proportion Chum","Proportion Steelhead","Daily Sockeye","Daily Chinook Adults","Daily Chinook Jacks","Daily Coho","Daily Pink","Daily Chum","Daily Steelhead","Cumulative Sockeye","Cumulative Chinook Adults","Cumulative Chinook Jacks","Cumulative Coho","Cumulative Pink","Cumulative Chum","Cumulative Steelhead","Expanded Daily Total RB + LB","Cumulative Total RB + LB",NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FN Fisheries"
"45172","97671","2817","66","130476","3456","486","2.867116176382839E-2","2.9326429496049636E-2","2.9046013993156632E-2","100554","134418","1318986.2628205128","1410196.606060606","2","9","2","0","40","0","1","54","3.7037037037037035E-2","0.16666666666666666","3.7037037037037035E-2","0","0.7407407407407407","0","1.8518518518518517E-2","8702.6666666666661","39162","8702.6666666666661","0","174053.33333333331","0","4351.333333333333","1076547.5751408462","471340.03734179738","52264.748059403602","3550.207317073171","1121128.9676886655","0","4351.333333333333","234972","2729182.8688811189","1"
"45173","247242","3567","222","144176.38141025641","5993.6470588235297","444","1.5093753361138664E-2","4.2742678914169913E-2","2.5461903755671193E-2","251031","150614.02846907993","1570017.2628205128","1560810.6345296858","5","5","0","2","54","0","0","66","7.575757575757576E-2","7.575757575757576E-2","0","3.0303030303030304E-2","0.81818181818181823","0","0","30427.653671899996","30427.653671899996","0","12171.061468759999","328618.65965651994","0","0","1106975.2288127462","501767.69101369736","52264.748059403602","15721.26878583317","1449747.6273451855","0","4351.333333333333","401645.02846907993","3130827.8973501991",NA
"45174","268938","2550","60","242088","8433","1602","9.6115603871138808E-3","3.9802001404076581E-2","2.4146840287126842E-2","271548","252123","1841565.2628205128","1812933.6345296858","11","10","0","0","52","0","0","73","0.15068493150684931","0.13698630136986301","0","0","0.71232876712328763","0","0","78909.328767123283","71735.753424657523","0","0","373025.91780821915","0","0","1185884.5575798694","573503.44443835493","52264.748059403602","15721.26878583317","1822773.5451534046","0","4351.333333333333","523671","3654498.8973501991",NA
"45175","267855","2715","42","249823.5","8514","3420","1.0188018269699792E-2","4.5591816853385293E-2","2.7595495234043272E-2","270612","261757.5","2112177.262820513","2074691.1345296858","5","12","1","0","36","0","0","54","9.2592592592592587E-2","0.22222222222222221","1.8518518518518517E-2","0","0.66666666666666663","0","0","49293.472222222219","118304.33333333333","9858.6944444444434","0","354913","0","0","1235178.0298020917","691807.7777716883","62123.442503848048","15721.26878583317","2177686.5451534046","0","4351.333333333333","532369.5","4186868.3973501991",NA
"45176","284196","2556","24","187809","3537","516","8.9965687505230568E-3","2.1124558276261064E-2","1.3858072280094769E-2","286776","191862","2398953.262820513","2266553.1345296856","8","12","0","0","38","0","0","58","0.13793103448275862","0.20689655172413793","0","0","0.65517241379310343","0","0","66019.034482758623","99028.551724137928","0","0","313590.41379310342","0","0","1301197.0642848504","790836.32949582627","62123.442503848048","15721.26878583317","2491276.9589465079","0","4351.333333333333","478638","4665506.3973501995",NA
"45177","146103","4542","90","116943","4104","648","3.0729425813513782E-2","3.9048440774066315E-2","3.444554564475278E-2","150735","121695","2549688.262820513","2388248.1345296856","8","13","0","1","44","0","0","66","0.12121212121212122","0.19696969696969696","0","1.5151515151515152E-2","0.66666666666666663","0","0","33021.818181818184","53660.454545454544","0","4127.727272727273","181620","0","0","1334218.8824666685","844496.78404128086","62123.442503848048","19848.996058560442","2672896.9589465079","0","4351.333333333333","272430","4937936.3973501995",NA
"45178","83208","2772","66","108331.5","4104","282","3.298235827348163E-2","3.8911437886752276E-2","3.6344701114641269E-2","86046","112717.5","2635734.262820513","2500965.6345296856","4","5","0","2","90","0","0","101","3.9603960396039604E-2","4.9504950495049507E-2","0","1.9801980198019802E-2","0.8910891089108911","0","0","7871.8217821782182","9839.7772277227723","0","3935.9108910891091","177115.99009900991","0","0","1342090.7042488467","854336.56126900367","62123.442503848048","23784.90694964955","2850012.9490455179","0","4351.333333333333","198763.5","5136699.8973501995",NA
"45179","109155","2358","168","93876","4491","1062","2.2617992317404034E-2","5.5848897203029296E-2","3.8269148784993608E-2","111681","99429","2747415.262820513","2600394.6345296856","7","9","0","3","87","0","0","106","6.6037735849056603E-2","8.4905660377358486E-2","0","2.8301886792452831E-2","0.82075471698113212","0","0","13941.226415094339","17924.433962264149","0","5974.8113207547167","173269.52830188681","0","0","1356031.9306639412","872260.99523126776","62123.442503848048","29759.718270404268","3023282.4773474047","0","4351.333333333333","211110","5347809.8973501995",NA
"45180","142434","2475","60","102732","2547","234","1.748649711317592E-2","2.6356941798640926E-2","2.1223081898100463E-2","144969","105513","2892384.262820513","2705907.6345296856","10","9","0","4","36","0","0","59","0.16949152542372881","0.15254237288135594","0","6.7796610169491525E-2","0.61016949152542377","0","0","42454.576271186437","38209.118644067799","0","16981.830508474577","152836.4745762712","0","0","1398486.5069351275","910470.11387533555","62123.442503848048","46741.548778878845","3176118.9519236758","0","4351.333333333333","250482","5598291.8973501995",NA
"45181","137796","2445","120","105384","3657","882","1.8274306965610106E-2","4.1292541142436072E-2","2.8383756053123651E-2","140361","109923","3032745.262820513","2815830.6345296856","5","5","1","3","23","0","0","37","0.13513513513513514","0.13513513513513514","2.7027027027027029E-2","8.1081081081081086E-2","0.6216216216216216","0","0","33822.162162162167","33822.162162162167","6764.4324324324325","20293.297297297297","155581.94594594595","0","0","1432308.6690972897","944292.27603749768","68887.874936280481","67034.846076176138","3331700.8978696219","0","4351.333333333333","250284","5848575.8973501995",NA
