"drift_id","species_id","life_history_type_id","catch_count","retention_type","marked_fish_type_id","created_at"
536,15,1,"1","retained",1,2025-09-09 12:27:46.220009
18,15,1,"1","retained",1,2025-09-09 12:27:46.220009
35,15,1,"1","retained",1,2025-09-09 12:27:46.220009
52,15,1,"1","retained",1,2025-09-09 12:27:46.220009
199,15,1,"1","retained",1,2025-09-09 12:27:46.220009
42,15,NA,"1","retained",1,2025-09-09 12:27:46.220009
91,15,NA,"2","retained",1,2025-09-09 12:27:46.220009
110,15,NA,"1","retained",1,2025-09-09 12:27:46.220009
173,15,NA,"1","retained",1,2025-09-09 12:27:46.220009
195,15,NA,"1","retained",1,2025-09-09 12:27:46.220009
214,15,NA,"2","retained",1,2025-09-09 12:27:46.220009
