"date","sheet_name","total_up","total_down","total_net_up","total_salmon_hour","avg_duration","created_at","updated_at","updated_by"
2023-08-20,"HF",18133,29,18104,54312,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-08-20,"LF",2096,41,2055,6165,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-08-20,"LR",102,7,95,570,10,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-08-21,"HF",21779,33,21746,65238,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-08-21,"LF",1356,25,1331,3993,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-08-21,"LR",52,7,45,270,10,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-08-22,"HF",18625,38,18587,55761,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-08-22,"LF",1859,64,1795,5385,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-08-22,"LR",144,8,136,816,10,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-08-23,"HF",15413,79,15334,46002,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-08-23,"LF",5235,60,5175,15525,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-08-23,"LR",551,8,543,3258,10,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-08-24,"HF",17848,118,17730,53190,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-08-24,"LF",2418,257,2161,6483,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-08-24,"LR",166,17,149,894,10,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-08-25,"HF",34762,225,34537,103611,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-08-25,"LF",2009,315,1694,5082,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-08-25,"LR",154,21,133,798,10,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-08-26,"HF",41170,174,40996,128625,19.7872340425532,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-08-26,"LF",6538,158,6380,19140,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-08-26,"LR",283,9,274,1644,10,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-08-27,"HF",47601,120,47481,146932.5,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-08-27,"LF",5485,88,5397,16191,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-08-27,"LR",188,10,178,1068,10,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-08-28,"HF",37155,134,37021,111063,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-08-28,"LF",1682,103,1579,4737,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-08-28,"LR",36,11,25,150,10,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-08-29,"HF",23834,124,23710,71130,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-08-29,"LF",1223,215,1008,3024,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-08-29,"LR",38,29,9,54,10,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-08-30,"HF",27267,105,27162,81486,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-08-30,"LF",1072,130,942,2826,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-08-30,"LR",25,12,13,78,10,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-08-31,"HF",54671,66,54605,178449,19.375,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-08-31,"LF",1121,47,1074,3222,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-08-31,"LR",19,3,16,96,10,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-09-01,"HF",74036,56,73980,314256,17.2916666666667,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-09-01,"LF",1414,38,1376,4128,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-09-01,"LR",43,5,38,228,10,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-09-02,"HF",61370,66,61304,281346,17.0833333333333,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-09-02,"LF",3153,60,3093,9279,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-09-02,"LR",87,5,82,492,10,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-09-03,"HF",65061,55,65006,228147,18.75,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-09-03,"LF",2163,72,2091,6273,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-09-03,"LR",103,12,91,552,10,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-09-04,"HF",83283,41,83242,364583.381410256,16.5227272727273,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-09-04,"LF",2223,46,2177,6907.78991596639,19.8048780487805,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-09-04,"LR",87,11,76,456,10,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-09-05,"HF",73463,65,73398,394470,14.0540540540541,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-09-05,"LF",3411,65,3346,10038,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-09-05,"LR",290,13,277,1662,10,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-09-06,"HF",90429,37,90392,517678.5,13.7083333333333,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-09-06,"LF",3796,53,3743,11229,20,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
2023-09-06,"LR",587,10,577,3462,10,2025-09-09 12:27:47.074887,2025-09-09 12:27:47.074971,"csv_processor"
